x,y
0.000000,0.000000
0.202428,-0.001479
0.404857,0.003427
0.480354,0.011503
0.476320,0.009461
0.471251,0.002078
0.470746,0.015747
0.480172,0.218023
0.487419,0.420381
0.498858,0.622407
0.518360,0.828436
0.547580,1.033149
0.591225,1.235423
0.642314,1.436012
0.695353,1.631429
0.707631,1.670150
0.708576,1.665756
0.713931,1.658631
0.533564,1.750882
0.383874,1.833525
